n,t
1470,732
1471,732
1472,736
1473,736
1474,736
1475,737
1476,738
1477,738
1478,739
1479,739
1480,738
1481,737
1482,739
1483,739
1484,739
1485,744
1486,742
1487,743
1488,746
1489,751
1490,743
1491,743
1492,744
1493,743
1494,746
1495,744
1496,744
1497,746
1498,746
1499,747
1500,745
1501,747
1502,747
1503,750
1504,749
1505,749
1506,749
1507,749
1508,749
1509,752
1510,750
1511,750
1512,754
1513,763
1514,757
1515,755
1516,756
1517,760
1518,762
1519,762
1520,761
1521,762
1522,761
1523,765
1524,767
1525,772
1526,771
1527,765
1528,766
1529,770
1530,773
1531,769
1532,769
1533,772
1534,774
1535,770
1536,782
1537,794
1538,797
1539,799
1540,797
1541,755
1542,753
1543,755
1544,753
1545,754
1546,758
1547,755
1548,753
1549,755
1550,755
1551,762
1552,758
1553,757
1554,760
1555,759
1556,757
1557,761
1558,762
1559,766
1560,761
1561,772
1562,763
1563,763
1564,762
1565,762
1566,763
1567,783
1568,764
1569,767
1570,767
1571,779
1572,767
1573,767
1574,772
1575,769
1576,766
1577,768
1578,769
1579,776
1580,770
1581,771
1582,772
1583,780
1584,777
1585,774
1586,776
1587,775
1588,775
1589,775
1590,778
1591,774
1592,781
1593,777
1594,781
1595,778
1596,779
1597,778
1598,778
1599,782
1600,781
1601,782
1602,781
1603,791
1604,789
1605,789
1606,786
1607,802
1608,788
1609,784
1610,785
1611,787
1612,789
1613,789
1614,786
1615,796
1616,788
1617,791
1618,789
1619,789
1620,790
1621,790
1622,792
1623,793
1624,791
1625,796
1626,799
1627,794
1628,794
1629,794
1630,810
1631,800
1632,794
1633,797
1634,795
1635,800
1636,796
1637,801
1638,797
1639,799
1640,806
1641,801
1642,802
1643,806
1644,808
1645,815
1646,834
1647,857
1648,839
1649,818
1650,802
1651,799
1652,815
1653,823
1654,817
1655,815
1656,818
1657,810
1658,859
1659,819
1660,812
1661,817
1662,819
1663,817
1664,814
1665,840
1666,823
1667,817
1668,816
1669,829
1670,830
1671,820
1672,821
1673,829
1674,832
1675,821
1676,823
1677,822
1678,824
1679,826
1680,820
1681,828
1682,850
1683,824
1684,826
1685,830
1686,826
1687,824
1688,826
1689,834
1690,847
1691,830
1692,829
1693,835
1694,838
1695,830
1696,830
1697,838
1698,831
1699,833
1700,850
1701,847
1702,832
1703,839
1704,833
1705,835
1706,836
1707,845
1708,835
1709,839
1710,862
1711,839
1712,838
1713,840
1714,841
1715,844
1716,841
1717,840
1718,850
1719,841
1720,842
1721,846
1722,843
1723,845
1724,844
1725,847
1726,869
1727,845
1728,846
1729,850
1730,848
1731,846
1732,863
1733,848
1734,850
1735,852
1736,849
1737,851
1738,848
1739,852
1740,854
1741,853
1742,880
1743,854
1744,854
1745,853
1746,857
1747,859
1748,859
1749,861
1750,857
1751,857
1752,858
1753,862
1754,858
1755,864
1756,862
1757,862
1758,875
1759,863
1760,883
1761,868
1762,897
1763,872
1764,869
1765,867
1766,866
1767,870
1768,864
1769,869
1770,866
1771,875
1772,877
1773,869
1774,869
1775,868
1776,876
1777,870
1778,872
1779,884
1780,872
1781,872
1782,875
1783,874
1784,875
1785,902
1786,877
1787,874
1788,875
1789,878
1790,879
